sentiment,text
negative,"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham ."
positive,Nordea sees a return to positive growth for the Baltic countries in 2011 .
neutral,"For the fiscal year ending September 30 , 2009 the revenue from these customers was $ 10.012 million or around 11.0 % of the transportation group 's revenue ."
neutral,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said ."
positive,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February ."
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate ."
negative,Last year 's third quarter result had been burdened by costs stemming from restructuring in the US .
negative,"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+�meri , the Northernmost part of the Gulf of Bothnia ."
negative,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 ."
positive,Performance in the second half of 2009 exceeded expectations .
negative,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % ."
neutral,Active shipping is essential for Finland .
positive,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi ."
neutral,"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation ."
neutral,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .
positive,"Exel Composites ' long-term growth prospects remain favourable , however ."
neutral,Pertti Ervi is independent from the Company and its major shareholders .
neutral,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares ."
positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .
positive,"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News ."
negative,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ."
neutral,The effect of the savings will be noticeable from the beginning of 2010 .
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying ."
neutral,"We look forward to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan ."
positive,This new partnership agreement represents a significant milestone for both parties .
neutral,The MET is located in the Central Business District ( CBD ) of Bangkok .
neutral,Airbus will attempt to evacuate up to 873 people within 90 seconds .
positive,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland ."
negative,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .
positive,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .
neutral,"Currently it operates a fleet of eight carriers , as well as nine pushers and barges ."
negative,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs ."
neutral,"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media ."
negative,"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said ."
positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
negative,"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier ."
positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear ."
positive,"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 ."
neutral,"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+�nnen Tehtaat 's other businesses ."
negative,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 ."
positive,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .
positive,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations ."
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
neutral,`` We know there are some of our own people out there . ''
negative,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 ."
negative,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 ."
negative,Nokia Siemens Networks has struggled to make a profit in the past two years .
negative,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier ."
neutral,The resignation will be in effect immediately .
positive,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland ."
positive,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 ."
positive,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .
neutral,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 ."
negative,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 ."
negative,"In Finland , the Bank of +_land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ."
neutral,"When the product is manufactured in Finland , it is also packed in the country ."
neutral,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .
negative,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier ."
positive,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 ."
negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago ."
positive,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .
neutral,The company will build altogether 130 new substations by the end of this year .
negative,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct ."
positive,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .
negative,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .
neutral,All reproduction for further distribution is prohibited .
positive,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 ."
negative,"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ."
neutral,"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''"
positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period ."
neutral,"It is necessary to strengthen the company 's operations , however ."
negative,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation ."
negative,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .
neutral,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn ."
positive,"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier ."
neutral,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees ."
positive,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .
negative,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households ."
neutral,It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .
negative,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 ."
positive,"In addition , Kone signed a two-year maintenance contract for the escalators ."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported ."
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .
neutral,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .
positive,The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .
negative,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 ."
neutral,Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .
neutral,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .
neutral,No changes in media activity were seen in October compared with September .
positive,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .
positive,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
neutral,"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 ."
positive,"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years ."
neutral,"The total value of the project is about EUR53m , including the plots that will be transferred to Atria ."
positive,Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .
positive,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year ."
neutral,"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila ."
positive,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .
neutral,"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion ."
negative,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .
neutral,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .
neutral,This is the company 's first contract abroad .
positive,The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .
neutral,"CompaniesandMarkets.com provides a wide range of research reports , industry statistics and competitive intelligence on the industrial sector ."
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia ."
negative,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period ."
neutral,"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers ."
neutral,"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company ."
negative,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith ."
negative,The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .
negative,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier ."
neutral,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .
neutral,Yvonne Jones is owner of Chameleon Interiors .
positive,The rebuilds are designed to improve the machines ' performance and product quality .
positive,"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order ."
negative,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .
positive,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again ."
neutral,-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .
positive,"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues ."
neutral,"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases ."
neutral,"Kemira 's R&D organization comprises approximately 750 people , the company said ."
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
negative,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said ."
positive,"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week ."
neutral,"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania ."
positive,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 ."
neutral,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .
positive,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU"
negative,HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .
negative,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 ."
negative,"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June ."
neutral,Protalix is developing genetically engineered proteins from plant cells .
neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly ."
negative,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .
positive,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
neutral,The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .
neutral,"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 ."
negative,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said ."
negative,The company said that the fall in turnover had been planned .
negative,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .
positive,"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia ."
neutral,"There have been 15 initial public offerings announced in Sweden this year , compared with two during the same period a year earlier , Bloomberg data shows ."
positive,"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions ."
negative,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .
neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million ."
neutral,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  ."
negative,"Temporary lay-offs , affecting the entire workforce , will also be implemented ."
negative,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ."
negative,Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .
positive,Finnair was able to operate most of its leisure flights despite the strike .
negative,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ."
negative,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .
neutral,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .
negative,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said ."
positive,"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen ."
positive,"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings ."
negative,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales ."
positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier ."
negative,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ."
negative,This is bad news for the barbeque season .
neutral,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment ."
positive,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia ."
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ."
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .
positive,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .
neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ."
neutral,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area ."
positive,These companies will be able to keep their market positions .
positive,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .
neutral,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .
negative,Nokia will certainly disagree with Qualcomm 's views on the patent situation .
positive,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 ."
positive,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .
neutral,The smaller molecules improve the grip of the tyre at top-speed driving .
neutral,Gearing was 43 % compared to 67 % in 2004 .
negative,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .
positive,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent ."
negative,The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .
negative,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .
positive,"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 ."
negative,"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt ."
negative,Viking Line has canceled some services .
positive,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .
neutral,"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % ."
neutral,"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications ."
positive,The company expects net sales to significantly increase from 2009 .
positive,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .
neutral,`` We could be there .
neutral,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 ."
negative,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .
negative,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .
neutral,"The interim report for the first quarter is published on May 8 , 2009 ."
neutral,The acquisition is part of Ramirent 's Central and Eastern European growth strategy .
neutral,The indexes include the top companies that are committed to sustainable development .
positive,Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .
negative,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '"
negative,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .
negative,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .
positive,An individual promotion also generated slightly higher-than-expected revenues .
negative,The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .
negative,The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .
negative,"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 ."
neutral,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .
negative,GSK announced in November 2008 that it would close its operations in Dartford .
neutral,The new shares entitle their holders to dividends for fiscal 2006 .
neutral,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option ."
neutral,Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .
negative,The terms of the aforementioned funding are considerably below the Bank 's current CDS levels in the market and have a maturity ranging from 1 to 7.5 years .
positive,"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways ."
negative,The move was triggered by weak demand for forestry equipment and the uncertain market situation .
negative,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .
positive,"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations ."
neutral,Residents access to the block is planned to be from Aleksandri Street .
neutral,Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .
neutral,"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said ."
positive,"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''"
negative,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .
neutral,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . ''
neutral,"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements ."
negative,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .
positive,It is in line with its plans to focus on selected growth segments and streamline corporate structure .
negative,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 ."
positive,Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .
positive,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .
neutral,Rental of building equipment accounted for 88 percent of the operating income .
positive,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 ."
negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn ."
negative,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .
negative,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 ."
negative,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .
negative,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million ."
negative,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .
negative,"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy ."
neutral,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .
neutral,Basware finances the acquisition with a bank loan .
negative,"In addition , the production at the Varpaisj+_ rvi factory will be stopped at the beginning of April 2009 ."
neutral,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .
neutral,He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .
negative,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 ."
negative,Scanfil issued a profit warning on 10 April 2006 .
neutral,All rights reserved .
positive,It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .
neutral,Our tools are specifically designed with the needs of both the business users and ICT experts in mind .
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said ."
neutral,The Swedish player became majority owner of UCell in mid-2007 .
neutral,"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI ."
positive,"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said ."
positive,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .
neutral,GET MIDNIGHTTRADER IN REALTIME : This report is delayed .
positive,"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space ."
negative,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .
positive,"The production capacity can be tripled without any major additional investments , the company said ."
negative,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points ."
neutral,"Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros ."
negative,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 ."
neutral,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing ."
neutral,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .
neutral,The insurance division turned a EUR120m profit .
negative,It is the most awkward thing to use if you 're holding the phone with one hand .
positive,The aim is to achieve EUR 2.5 mn yearly savings .
neutral,"As part of the transaction , the +_+�nekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ."
neutral,"According to Saarioinen 's Managing Director Ilkka M+�kel+� , the food industry sector has a significant excess of production machinery ."
neutral,"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros ."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales ."
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .
neutral,"We now have both the opportunity and the responsibility to create a new journalistic culture to serve the readers of Alma Media 's newspapers , `` says Hannu Ollikainen , head of the new Helsinki desk ."
neutral,"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries ."
negative,Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .
positive,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 ."
negative,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 ."
neutral,These savings will have full impact as of the beginning of 2007 .
negative,Device volume in the area decreased by 21 % to 2.7 mn units .
negative,More than a third of the original participants dropped out due to nausea and other side effects .
negative,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed ."
positive,"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 ."
